stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,87.1284530999983,None,space,1.9381990999972913,87.1284530999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,0,0,0,0,,,,,,,,,,,c,0.9239405999978771,89.17916419999528,None,89.17916419999528,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,0,1,1,1,,,,,,,,,,,n,0.08291559999634046,90.1632002999977,None,90.1632002999977,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,1,0,2,1,,,,,,,,,,,c,0.2188049000033061,90.2808073999986,None,90.2808073999986,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,1,1,3,0,,,,,,,,,,,n,0.1182935999968322,90.56410329999926,None,90.56410329999926,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,2,0,4,0,,,,,,,,,,,c,0.615165999995952,90.712855699996,None,90.712855699996,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,2,1,5,1,,,,,,,,,,,n,0.5244573000018136,91.36366619999899,None,91.36366619999899,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,3,0,6,1,,,,,,,,,,,c,0.3947773999971105,91.94693140000163,None,91.94693140000163,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,3,1,7,0,,,,,,,,,,,c,0.5860604999979842,92.37899730000208,None,92.37899730000208,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,4,0,8,1,,,,,,,,,,,n,0.30017619999853196,93.01527209999767,None,93.01527209999767,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,4,1,9,0,,,,,,,,,,,c,0.43112809999729507,93.36194869999599,None,93.36194869999599,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,93.82833769999706,None,space,0.8551856000049156,93.82833769999706,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.72832349999953,None,space,0.8023509000049671,94.72832349999953,None,,,,,,,,,,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
man running.jpg,c,practice_images/man running.jpg,plausible,practice,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,95.59541299999546,None,c,1,1.3557901999956812,95.59541299999546,None,95.59541299999546,None,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
looking at xray.jpg,c,practice_images/looking at xray.jpg,plausible,practice,,,,,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,96.99698630000057,None,c,1,1.0096744999973453,96.99698630000057,None,96.99698630000057,None,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
man with paper in mouth.jpg,n,practice_images/man with paper in mouth.jpg,implausible,practice,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,98.06182479999552,None,n,1,0.8815898999964702,98.06182479999552,None,98.06182479999552,None,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
buisness man working.jpg,c,practice_images/buisness man working.jpg,plausible,practice,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,98.9851187000022,None,c,1,1.7573352000035811,98.9851187000022,None,98.9851187000022,None,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
throwing noodles.jpg,n,practice_images/throwing noodles.jpg,implausible,practice,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,100.7798111000011,None,n,1,1.3067873000036343,100.7798111000011,None,100.7798111000011,None,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
bikini woman gun.jpg,n,practice_images/bikini woman gun.jpg,implausible,practice,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,102.13114443333373,None,None,0,,102.13114443333373,None,102.13114443333373,None,,001,2021_Jun_16_1021,EventTask,2021.1.4,None,
