stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,breakimage.started,breakimage.stopped,continutebreak.keys,continutebreak.rt,continutebreak.started,continutebreak.stopped,participant,session,date,expName,psychopyVersion,frameRate,
boss bably.jpg,n,practice_images/boss baby.jpg,implausible,practice,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.47811480000382,None,n,1,0.8968635999990511,38.47811480000382,None,38.47811480000382,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
kids playing.jpg,c,practice_images/kids playing.jpg,plausible,practice,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.42959559999872,None,c,1,0.9914637000038056,39.42959559999872,None,39.42959559999872,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
girl and woman_patio.jpg,c,practice_images/girl and woman_patio.jpg,plausible,practice,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4456978000002,None,None,0,,40.4456978000002,None,40.4456978000002,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
mowing the lawn.jpg,c,practice_images/mowing the lawn.jpg,plausible,practice,,,,,0,6,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.462283300000124,None,None,0,,40.462283300000124,None,40.462283300000124,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
sawing apple.jpg,n,practice_images/sawing apple.jpg,implausible,practice,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.462283300000124,None,None,0,,40.462283300000124,None,40.462283300000124,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
boxer training.jpg,c,practice_images/boxer training.jpg,plausible,practice,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.462283300000124,None,None,0,,40.462283300000124,None,40.462283300000124,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
giant coffee.jpg,n,practice_images/giant coffee.jpg,implausible,practice,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.47886880000005,None,None,0,,40.47886880000005,None,40.47886880000005,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
family cooking.jpg,c,practice_images/family cooking.jpg,plausible,practice,,,,,0,10,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.47886880000005,None,None,0,,40.47886880000005,None,40.47886880000005,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
buisness man working.jpg,c,practice_images/buisness man working.jpg,plausible,practice,,,,,0,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.47886880000005,None,None,0,,40.47886880000005,None,40.47886880000005,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
woman vacuuming grass.jpg,n,practice_images/woman vacuuming grass.jpg,implausible,practice,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.495454299999984,None,None,0,,40.495454299999984,None,40.495454299999984,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
