stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
woman vacuuming grass.jpg,n,practice_images/woman vacuuming grass.jpg,implausible,practice,,,,,0,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.63633784000413,None,None,0,,134.63633784000413,None,134.63633784000413,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
bikini woman gun.jpg,n,practice_images/bikini woman gun.jpg,implausible,practice,,,,,0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.65297693000394,None,None,0,,134.65297693000394,None,134.65297693000394,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
dog pilot.jpg,n,practice_images/dog pilot.jpg,implausible,practice,,,,,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.65297693000394,None,None,0,,134.65297693000394,None,134.65297693000394,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
underwater skateboard.jpg,n,practice_images/underwater skateboard.jpg,implausible,practice,,,,,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.65297693000394,None,None,0,,134.65297693000394,None,134.65297693000394,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
family cooking.jpg,c,practice_images/family cooking.jpg,plausible,practice,,,,,0,19,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.66961602000376,None,None,0,,134.66961602000376,None,134.66961602000376,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.68289350000123,None,space,5.4061742999983835,136.65366180000274,None,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
woman_washing hands.jpg,c,images/woman_washing hands.jpg,Plausible,2,,,,,,,,,0,0,0,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.14879590000055,None,c,1,0.8195063999955892,142.14879590000055,None,142.14879590000055,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
man feeding paper into shredder w mouth.jpg,n,images/man feeding paper into shredder w mouth.jpg,Implausible,2,,,,,,,,,0,1,1,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.01809660000436,None,n,1,0.04633620000095107,143.01809660000436,None,143.01809660000436,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
business man long jump over binders.jpg,n,images/business man long jump over binders.jpg,Implausible,2,,,,,,,,,0,2,2,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.09935830000177,None,c,0,0.11397959999885643,143.09935830000177,None,143.09935830000177,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
man and woman_jumping into water.jpg,c,images/man and woman_jumping into water.jpg,Plausible,1,,,,,,,,,0,3,3,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.26739340000495,None,n,0,0.017564599998877384,143.26739340000495,None,143.26739340000495,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
