1.1760 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
10.2829 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.3091 	EXP 	Created task_instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='task_instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.3291 	EXP 	Created practice_block = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='practice_block', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Practice Block', units='height', win=Window(...), wrapWidth=1)
10.3413 	EXP 	Created trial_instructions_practice = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=30.0, italic=False, languageStyle='LTR', name='trial_instructions_practice', opacity=1, ori=0.0, pos=array([   0., -300.]), rgb=UNKNOWN, text='C = “YES”             N = “NO”', units='pix', win=Window(...), wrapWidth=500)
10.3462 	EXP 	Created image_practice = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_practice', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
10.4082 	EXP 	Created experiment_block = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='experiment_block', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.4117 	EXP 	Created trial_instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=30.0, italic=False, languageStyle='LTR', name='trial_instructions', opacity=1, ori=0.0, pos=array([   0., -300.]), rgb=UNKNOWN, text='C = “YES”             N = “NO”', units='pix', win=Window(...), wrapWidth=500)
10.4153 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
10.5532 	EXP 	Created breakimage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='breakfile.jpg', interpolate=True, mask=None, maskParams=None, name='breakimage', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.6, 0.9]), texRes=128.0, units='height', win=Window(...))
10.5654 	EXP 	Created end_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='end_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.6128 	EXP 	std_instructions: autoDraw = True
12.1905 	DATA 	Keypress: space
12.2553 	DEBUG 	Read csv file with pandas: standardizingRTs.csv
12.2575 	DEBUG 	Clearing unnamed columns from standardizingRTs.csv
12.2579 	EXP 	Imported standardizingRTs.csv as conditions, 2 conditions, 2 params
12.2583 	EXP 	Created sequence: random, trialTypes=2, nReps=5, seed=None
12.2587 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
12.2795 	EXP 	std_instructions: autoDraw = False
12.2795 	EXP 	text: text = "Press the 'yes' key."
12.2795 	EXP 	text: autoDraw = True
12.9715 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
12.9833 	DATA 	Keypress: c
12.9970 	EXP 	text: autoDraw = False
12.9970 	EXP 	text: text = "Press the 'no' key."
12.9970 	EXP 	text: autoDraw = True
13.3046 	DATA 	Keypress: n
13.3215 	EXP 	New trial (rep=1, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
13.3483 	EXP 	text: autoDraw = False
13.3483 	EXP 	text: text = "Press the 'no' key."
13.3483 	EXP 	text: autoDraw = True
13.6236 	DATA 	Keypress: c
13.6534 	EXP 	New trial (rep=1, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
13.6839 	EXP 	text: autoDraw = False
13.6839 	EXP 	text: text = "Press the 'yes' key."
13.6839 	EXP 	text: autoDraw = True
14.3035 	EXP 	New trial (rep=2, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
14.3210 	DATA 	Keypress: c
14.3285 	EXP 	text: autoDraw = False
14.3285 	EXP 	text: text = "Press the 'no' key."
14.3285 	EXP 	text: autoDraw = True
14.7563 	EXP 	New trial (rep=2, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
14.7735 	DATA 	Keypress: n
14.7966 	EXP 	text: autoDraw = False
14.7966 	EXP 	text: text = "Press the 'yes' key."
14.7966 	EXP 	text: autoDraw = True
15.2867 	EXP 	New trial (rep=3, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
15.3027 	DATA 	Keypress: c
15.3127 	EXP 	text: autoDraw = False
15.3127 	EXP 	text: text = "Press the 'no' key."
15.3127 	EXP 	text: autoDraw = True
15.6882 	EXP 	New trial (rep=3, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
15.7057 	DATA 	Keypress: n
15.7276 	EXP 	text: autoDraw = False
15.7276 	EXP 	text: text = "Press the 'yes' key."
15.7276 	EXP 	text: autoDraw = True
16.2397 	DATA 	Keypress: c
16.2702 	EXP 	New trial (rep=4, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
16.2999 	EXP 	text: autoDraw = False
16.2999 	EXP 	text: text = "Press the 'no' key."
16.2999 	EXP 	text: autoDraw = True
16.6569 	EXP 	New trial (rep=4, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
16.6756 	DATA 	Keypress: n
16.6964 	EXP 	text: autoDraw = False
16.6964 	EXP 	text: text = "Press the 'yes' key."
16.6964 	EXP 	text: autoDraw = True
17.1903 	DATA 	Keypress: c
17.2161 	EXP 	text: autoDraw = False
17.2161 	EXP 	task_instructions: autoDraw = True
22.3611 	DATA 	Keypress: space
22.3803 	EXP 	task_instructions: autoDraw = False
22.3803 	EXP 	practice_block: autoDraw = True
23.4935 	DEBUG 	Read csv file with pandas: practice.csv
23.4971 	DEBUG 	Clearing unnamed columns from practice.csv
23.5007 	EXP 	Imported practice.csv as conditions, 20 conditions, 5 params
23.5015 	EXP 	Created sequence: random, trialTypes=20, nReps=1, seed=None
23.5022 	EXP 	New trial (rep=0, index=0): OrderedDict([('file', 'practice_images/girl and woman_patio.jpg'), ('stimulus', 'girl and woman_patio.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
23.5227 	DATA 	Keypress: space
23.5462 	EXP 	practice_block: autoDraw = False
23.5462 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
23.5462 	EXP 	image_practice: image = 'practice_images/girl and woman_patio.jpg'
23.5462 	EXP 	trial_instructions_practice: autoDraw = True
23.5462 	EXP 	image_practice: autoDraw = True
25.3408 	EXP 	New trial (rep=0, index=1): OrderedDict([('file', 'practice_images/man running.jpg'), ('stimulus', 'man running.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
25.3575 	DATA 	Keypress: c
25.3775 	EXP 	trial_instructions_practice: autoDraw = False
25.3775 	EXP 	image_practice: autoDraw = False
25.3775 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
25.3775 	EXP 	image_practice: image = 'practice_images/man running.jpg'
25.3775 	EXP 	trial_instructions_practice: autoDraw = True
25.3775 	EXP 	image_practice: autoDraw = True
25.9880 	DATA 	Keypress: c
26.0237 	EXP 	New trial (rep=0, index=2): OrderedDict([('file', 'practice_images/buisness man working.jpg'), ('stimulus', 'buisness man working.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
26.0605 	EXP 	trial_instructions_practice: autoDraw = False
26.0605 	EXP 	image_practice: autoDraw = False
26.0605 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
26.0605 	EXP 	image_practice: image = 'practice_images/buisness man working.jpg'
26.0605 	EXP 	trial_instructions_practice: autoDraw = True
26.0605 	EXP 	image_practice: autoDraw = True
27.5219 	DATA 	Keypress: c
27.5519 	EXP 	New trial (rep=0, index=3): OrderedDict([('file', 'practice_images/boxer training.jpg'), ('stimulus', 'boxer training.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
27.5798 	EXP 	trial_instructions_practice: autoDraw = False
27.5798 	EXP 	image_practice: autoDraw = False
27.5798 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
27.5798 	EXP 	image_practice: image = 'practice_images/boxer training.jpg'
27.5798 	EXP 	trial_instructions_practice: autoDraw = True
27.5798 	EXP 	image_practice: autoDraw = True
28.2744 	DATA 	Keypress: c
28.3058 	EXP 	New trial (rep=0, index=4): OrderedDict([('file', 'practice_images/kids playing.jpg'), ('stimulus', 'kids playing.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
28.3464 	EXP 	trial_instructions_practice: autoDraw = False
28.3464 	EXP 	image_practice: autoDraw = False
28.3464 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
28.3464 	EXP 	image_practice: image = 'practice_images/kids playing.jpg'
28.3464 	EXP 	trial_instructions_practice: autoDraw = True
28.3464 	EXP 	image_practice: autoDraw = True
29.1358 	EXP 	New trial (rep=0, index=5): OrderedDict([('file', 'practice_images/sawing apple.jpg'), ('stimulus', 'sawing apple.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.1603 	EXP 	New trial (rep=0, index=6): OrderedDict([('file', 'practice_images/looking at xray.jpg'), ('stimulus', 'looking at xray.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
29.1738 	EXP 	New trial (rep=0, index=7): OrderedDict([('file', 'practice_images/dog pilot.jpg'), ('stimulus', 'dog pilot.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.1856 	EXP 	New trial (rep=0, index=8): OrderedDict([('file', 'practice_images/mowing the lawn.jpg'), ('stimulus', 'mowing the lawn.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
29.1934 	EXP 	New trial (rep=0, index=9): OrderedDict([('file', 'practice_images/boss baby.jpg'), ('stimulus', 'boss bably.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.2004 	EXP 	New trial (rep=0, index=10): OrderedDict([('file', 'practice_images/man with paper in mouth.jpg'), ('stimulus', 'man with paper in mouth.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.2082 	EXP 	New trial (rep=0, index=11): OrderedDict([('file', 'practice_images/balancing on umbrella.jpg'), ('stimulus', 'balancing on umbrella.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.2162 	EXP 	New trial (rep=0, index=12): OrderedDict([('file', 'practice_images/family cooking.jpg'), ('stimulus', 'family cooking.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
29.2232 	EXP 	New trial (rep=0, index=13): OrderedDict([('file', 'practice_images/bikini woman gun.jpg'), ('stimulus', 'bikini woman gun.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.2314 	EXP 	New trial (rep=0, index=14): OrderedDict([('file', 'practice_images/underwater skateboard.jpg'), ('stimulus', 'underwater skateboard.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.2393 	EXP 	New trial (rep=0, index=15): OrderedDict([('file', 'practice_images/dog playing.jpg'), ('stimulus', 'dog playing.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
29.2485 	EXP 	New trial (rep=0, index=16): OrderedDict([('file', 'practice_images/throwing noodles.jpg'), ('stimulus', 'throwing noodles.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.2582 	EXP 	New trial (rep=0, index=17): OrderedDict([('file', 'practice_images/parking lot.jpg'), ('stimulus', 'parking lot.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
29.2652 	EXP 	New trial (rep=0, index=18): OrderedDict([('file', 'practice_images/woman vacuuming grass.jpg'), ('stimulus', 'woman vacuuming grass.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.2734 	EXP 	New trial (rep=0, index=19): OrderedDict([('file', 'practice_images/giant coffee.jpg'), ('stimulus', 'giant coffee.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
29.2853 	DATA 	Keypress: c
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/sawing apple.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/looking at xray.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/dog pilot.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/mowing the lawn.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/boss baby.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/man with paper in mouth.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/balancing on umbrella.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/family cooking.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/bikini woman gun.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/underwater skateboard.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/dog playing.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/throwing noodles.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/parking lot.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/woman vacuuming grass.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
29.2954 	EXP 	image_practice: image = 'practice_images/giant coffee.jpg'
29.2954 	EXP 	trial_instructions_practice: autoDraw = True
29.2954 	EXP 	image_practice: autoDraw = True
29.2954 	EXP 	trial_instructions_practice: autoDraw = False
29.2954 	EXP 	image_practice: autoDraw = False
29.2954 	EXP 	experiment_block: autoDraw = True
32.3181 	EXP 	experiment_block: autoDraw = False
34.0013 	DATA 	Keypress: space
34.7380 	DATA 	Keypress: escape
34.9994 	EXP 	window1: mouseVisible = True
34.9995 	DEBUG 	Saving data for EventTask ExperimentHandler
35.0007 	INFO 	saved data to C:\Users\cukel\OneDrive\Documents\GitHub\Event-Task\data/_EventTask_2021_Jun_16_1032.psydat
35.0050 	INFO 	saved data to 'C:\\Users\\cukel\\OneDrive\\Documents\\GitHub\\Event-Task\\data/_EventTask_2021_Jun_16_1032.csv'
