1.0711 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.2853 	INFO 	Loaded monitor calibration from ['2020_10_01 13:01']
7.9289 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.9299 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024E456AC5C0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024E45641C50>, multiSample=False, name='window1', numSamples=2, pos=[240.0, 90.0], screen=0, size=array([1440,  900]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9302 	EXP 	window1: mouseVisible = True
7.9303 	EXP 	window1: recordFrameIntervals = False
8.0967 	EXP 	window1: recordFrameIntervals = True
9.0726 	WARNING 	t of last frame was 25.16ms (=1/39)
9.0992 	WARNING 	t of last frame was 26.61ms (=1/37)
9.1197 	WARNING 	t of last frame was 20.54ms (=1/48)
9.1454 	WARNING 	t of last frame was 25.65ms (=1/38)
9.7969 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.0699 	EXP 	Created std_instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='std_instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.0707 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.0975 	EXP 	Created task_instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='task_instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.1093 	EXP 	Created practice_block = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='practice_block', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Practice Block', units='height', win=Window(...), wrapWidth=1)
10.1218 	EXP 	Created trial_instructions_practice = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=30.0, italic=False, languageStyle='LTR', name='trial_instructions_practice', opacity=1, ori=0.0, pos=array([   0., -300.]), rgb=UNKNOWN, text='C = “YES”             N = “NO”', units='pix', win=Window(...), wrapWidth=500)
10.1267 	EXP 	Created image_practice = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_practice', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
10.1362 	EXP 	Created experiment_block = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='experiment_block', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Experiment Block', units='height', win=Window(...), wrapWidth=1)
10.1397 	EXP 	Created trial_instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=30.0, italic=False, languageStyle='LTR', name='trial_instructions', opacity=1, ori=0.0, pos=array([   0., -300.]), rgb=UNKNOWN, text='C = “YES”             N = “NO”', units='pix', win=Window(...), wrapWidth=500)
10.1431 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
10.2761 	EXP 	Created breakimage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='breakfile.jpg', interpolate=True, mask=None, maskParams=None, name='breakimage', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.6, 0.9]), texRes=128.0, units='height', win=Window(...))
10.2917 	EXP 	Created end_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='end_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.3300 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
10.3280 	EXP 	std_instructions: autoDraw = True
15.6058 	DEBUG 	Read csv file with pandas: standardizingRTs.csv
15.6094 	DEBUG 	Clearing unnamed columns from standardizingRTs.csv
15.6100 	EXP 	Imported standardizingRTs.csv as conditions, 2 conditions, 2 params
15.6107 	EXP 	Created sequence: random, trialTypes=2, nReps=5, seed=None
15.6113 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
15.6355 	DATA 	Keypress: space
15.6425 	EXP 	std_instructions: autoDraw = False
15.6425 	EXP 	text: text = "Press the 'no' key."
15.6425 	EXP 	text: autoDraw = True
16.5699 	DATA 	Keypress: n
16.5847 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
16.6084 	EXP 	text: autoDraw = False
16.6084 	EXP 	text: text = "Press the 'yes' key."
16.6084 	EXP 	text: autoDraw = True
16.9666 	EXP 	New trial (rep=1, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
16.9756 	DATA 	Keypress: c
16.9935 	EXP 	text: autoDraw = False
16.9935 	EXP 	text: text = "Press the 'no' key."
16.9935 	EXP 	text: autoDraw = True
17.2998 	EXP 	New trial (rep=1, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
17.3162 	DATA 	Keypress: n
17.3253 	EXP 	text: autoDraw = False
17.3253 	EXP 	text: text = "Press the 'yes' key."
17.3253 	EXP 	text: autoDraw = True
17.6341 	EXP 	New trial (rep=2, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
17.6502 	DATA 	Keypress: c
17.6592 	EXP 	text: autoDraw = False
17.6592 	EXP 	text: text = "Press the 'no' key."
17.6592 	EXP 	text: autoDraw = True
17.9847 	EXP 	New trial (rep=2, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
18.0006 	DATA 	Keypress: n
18.0105 	EXP 	text: autoDraw = False
18.0105 	EXP 	text: text = "Press the 'yes' key."
18.0105 	EXP 	text: autoDraw = True
18.3691 	EXP 	New trial (rep=3, index=0): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
18.3754 	DATA 	Keypress: c
18.3945 	EXP 	text: autoDraw = False
18.3945 	EXP 	text: text = "Press the 'yes' key."
18.3945 	EXP 	text: autoDraw = True
18.9880 	DATA 	Keypress: c
19.0173 	EXP 	New trial (rep=3, index=1): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
19.0440 	EXP 	text: autoDraw = False
19.0440 	EXP 	text: text = "Press the 'no' key."
19.0440 	EXP 	text: autoDraw = True
19.3855 	EXP 	New trial (rep=4, index=0): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
19.4036 	DATA 	Keypress: n
19.4250 	EXP 	text: autoDraw = False
19.4250 	EXP 	text: text = "Press the 'yes' key."
19.4250 	EXP 	text: autoDraw = True
19.7346 	EXP 	New trial (rep=4, index=1): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
19.7525 	DATA 	Keypress: c
19.7607 	EXP 	text: autoDraw = False
19.7607 	EXP 	text: text = "Press the 'no' key."
19.7607 	EXP 	text: autoDraw = True
20.1067 	DATA 	Keypress: n
20.1263 	EXP 	text: autoDraw = False
20.1263 	EXP 	task_instructions: autoDraw = True
34.9867 	DATA 	Keypress: space
35.0072 	EXP 	task_instructions: autoDraw = False
35.0072 	EXP 	practice_block: autoDraw = True
35.7560 	DATA 	Keypress: space
35.7866 	DEBUG 	Read csv file with pandas: practice.csv
35.7885 	DEBUG 	Clearing unnamed columns from practice.csv
35.7908 	EXP 	Imported practice.csv as conditions, 20 conditions, 5 params
35.7914 	EXP 	Created sequence: random, trialTypes=20, nReps=1, seed=None
35.7921 	EXP 	New trial (rep=0, index=0): OrderedDict([('file', 'practice_images/man running.jpg'), ('stimulus', 'man running.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
35.8239 	EXP 	practice_block: autoDraw = False
35.8239 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
35.8239 	EXP 	image_practice: image = 'practice_images/man running.jpg'
35.8239 	EXP 	trial_instructions_practice: autoDraw = True
35.8239 	EXP 	image_practice: autoDraw = True
38.1691 	DATA 	Keypress: n
38.2001 	EXP 	New trial (rep=0, index=1): OrderedDict([('file', 'practice_images/throwing noodles.jpg'), ('stimulus', 'throwing noodles.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
38.2420 	EXP 	trial_instructions_practice: autoDraw = False
38.2420 	EXP 	image_practice: autoDraw = False
38.2420 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
38.2420 	EXP 	image_practice: image = 'practice_images/throwing noodles.jpg'
38.2420 	EXP 	trial_instructions_practice: autoDraw = True
38.2420 	EXP 	image_practice: autoDraw = True
39.2074 	EXP 	New trial (rep=0, index=2): OrderedDict([('file', 'practice_images/balancing on umbrella.jpg'), ('stimulus', 'balancing on umbrella.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
39.2197 	DATA 	Keypress: n
39.2425 	EXP 	trial_instructions_practice: autoDraw = False
39.2425 	EXP 	image_practice: autoDraw = False
39.2425 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
39.2425 	EXP 	image_practice: image = 'practice_images/balancing on umbrella.jpg'
39.2425 	EXP 	trial_instructions_practice: autoDraw = True
39.2425 	EXP 	image_practice: autoDraw = True
40.2182 	EXP 	New trial (rep=0, index=3): OrderedDict([('file', 'practice_images/woman vacuuming grass.jpg'), ('stimulus', 'woman vacuuming grass.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
40.2414 	DATA 	Keypress: c
40.2596 	EXP 	trial_instructions_practice: autoDraw = False
40.2596 	EXP 	image_practice: autoDraw = False
40.2596 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
40.2596 	EXP 	image_practice: image = 'practice_images/woman vacuuming grass.jpg'
40.2596 	EXP 	trial_instructions_practice: autoDraw = True
40.2596 	EXP 	image_practice: autoDraw = True
41.2021 	EXP 	New trial (rep=0, index=4): OrderedDict([('file', 'practice_images/bikini woman gun.jpg'), ('stimulus', 'bikini woman gun.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
41.2159 	DATA 	Keypress: n
41.2271 	EXP 	trial_instructions_practice: autoDraw = False
41.2271 	EXP 	image_practice: autoDraw = False
41.2271 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
41.2271 	EXP 	image_practice: image = 'practice_images/bikini woman gun.jpg'
41.2271 	EXP 	trial_instructions_practice: autoDraw = True
41.2271 	EXP 	image_practice: autoDraw = True
42.0509 	EXP 	New trial (rep=0, index=5): OrderedDict([('file', 'practice_images/dog playing.jpg'), ('stimulus', 'dog playing.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
42.0657 	DATA 	Keypress: n
42.0770 	EXP 	trial_instructions_practice: autoDraw = False
42.0770 	EXP 	image_practice: autoDraw = False
42.0770 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
42.0770 	EXP 	image_practice: image = 'practice_images/dog playing.jpg'
42.0770 	EXP 	trial_instructions_practice: autoDraw = True
42.0770 	EXP 	image_practice: autoDraw = True
43.2814 	EXP 	New trial (rep=0, index=6): OrderedDict([('file', 'practice_images/boss baby.jpg'), ('stimulus', 'boss bably.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
43.2892 	DATA 	Keypress: c
43.3083 	EXP 	trial_instructions_practice: autoDraw = False
43.3083 	EXP 	image_practice: autoDraw = False
43.3083 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
43.3083 	EXP 	image_practice: image = 'practice_images/boss baby.jpg'
43.3083 	EXP 	trial_instructions_practice: autoDraw = True
43.3083 	EXP 	image_practice: autoDraw = True
44.1009 	DATA 	Keypress: n
44.1330 	EXP 	New trial (rep=0, index=7): OrderedDict([('file', 'practice_images/girl and woman_patio.jpg'), ('stimulus', 'girl and woman_patio.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
44.1729 	EXP 	trial_instructions_practice: autoDraw = False
44.1729 	EXP 	image_practice: autoDraw = False
44.1729 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
44.1729 	EXP 	image_practice: image = 'practice_images/girl and woman_patio.jpg'
44.1729 	EXP 	trial_instructions_practice: autoDraw = True
44.1729 	EXP 	image_practice: autoDraw = True
44.9990 	DATA 	Keypress: c
45.0163 	EXP 	New trial (rep=0, index=8): OrderedDict([('file', 'practice_images/family cooking.jpg'), ('stimulus', 'family cooking.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
45.0337 	EXP 	New trial (rep=0, index=9): OrderedDict([('file', 'practice_images/parking lot.jpg'), ('stimulus', 'parking lot.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
45.0452 	EXP 	New trial (rep=0, index=10): OrderedDict([('file', 'practice_images/underwater skateboard.jpg'), ('stimulus', 'underwater skateboard.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
