stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,breakimage.started,breakimage.stopped,continutebreak.keys,continutebreak.rt,continutebreak.started,continutebreak.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,10.328007000003709,None,space,5.181248499997309,10.328007000003709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,n,0.9262123000007705,15.642506500000309,None,15.642506500000309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,c,0.34958510000433307,16.60843059999752,None,16.60843059999752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,n,0.28420820000610547,16.993498000003456,None,16.993498000003456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,c,0.30212159999791766,17.325311799999326,None,17.325311799999326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,2,0,4,1,,,,,,,,,,,,,,,,,,,n,0.3034105999977328,17.659187600002042,None,17.659187600002042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,2,1,5,0,,,,,,,,,,,,,,,,,,,c,0.33347459999640705,18.010504099998798,None,18.010504099998798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,3,0,6,0,,,,,,,,,,,,,,,,,,,c,0.5880551000009291,18.394522900001903,None,18.394522900001903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,3,1,7,1,,,,,,,,,,,,,,,,,,,n,0.32226989999617217,19.04404649999924,None,19.04404649999924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,4,0,8,0,,,,,,,,,,,,,,,,,,,c,0.2904947999995784,19.42504039999767,None,19.42504039999767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1029,EventTask,2021.1.4,None,
